label_group,channel,count,proportion_within_label,mule_vs_legit_uplift
Legit,UPC,112280,0.37033616549686,0.9711748559005416
Legit,UPD,105162,0.3468586732809119,0.9497856542701639
Legit,IPM,14070,0.046407462135205024,1.1099721174348038
Legit,P2A,8809,0.029054963322602777,0.7721881176302791
Legit,NTD,7961,0.026257981951554172,1.3514118507209827
Legit,END,7163,0.023625916934930602,0.8817999906929127
Legit,FTD,5366,0.017698823156894822,1.5651585959077572
Legit,FTC,3559,0.011738746107974036,1.2676781867565794
Legit,STD,3203,0.010564541664467781,0.975167511227455
Legit,MCR,3105,0.010241305609794712,0.8494652958421075
Legit,RCD,3048,0.010053300965750172,1.0930749040985261
Legit,MAC,3022,0.009967544461449153,0.8498277588284205
Legit,TPD,2592,0.008549263813393847,0.8836953941120608
Legit,CHQ,2186,0.007210143015462557,1.778121847655242
Legit,APD,2046,0.006748377223072458,1.0855954081760533
Legit,ATW,1924,0.006345981318275371,2.2727890612505997
Legit,ETD,1741,0.00574238746107974,0.9568329430477622
Legit,TPC,1627,0.005366378172990659,1.7064598994531388
Legit,STC,1571,0.00518167185603462,0.7952798315624541
Legit,CSD,1537,0.005069528735025595,0.9935105016432277
Legit,NWD,1536,0.005066230407937094,0.5874565972222222
Legit,IFC,1316,0.004340598448466937,0.8438936949575248
Legit,OCD,1218,0.004017362393793867,0.740831964969896
Legit,PCA,1185,0.003908517599873344,0.6443146164665153
Legit,IFD,1168,0.0038524460393688322,1.4262381454162276
Legit,MAD,986,0.0032521505092617023,1.2671243563738495
Legit,CHD,883,0.002912422819146129,0.9432877428347418
Legit,RTD,732,0.0024143754287825215,1.232695810564663
Legit,CCL,572,0.0018866430946224075,0.9707728169266631
Legit,OPI,445,0.001467755554382817,0.9358686257562663
Legit,CTC,358,0.0011808010976832551,0.5816501933820369
Legit,SID,285,0.000940023220222703,0.24354475933423303
Legit,ASD,211,0.0006959470156736503,1.3158342447441973
Legit,IAD,196,0.0006464721093461396,1.4165358451072738
Legit,SCW,121,0.0003990975777085862,0.5736384827293918
Mule,UPC,1571,0.35966117216117216,0.9711748559005416
Mule,UPD,1439,0.32944139194139194,0.9497856542701639
Mule,IPM,225,0.05151098901098901,1.1099721174348038
Mule,NTD,155,0.035485347985347984,1.3514118507209827
Mule,FTD,121,0.0277014652014652,1.5651585959077572
Mule,P2A,98,0.022435897435897436,0.7721881176302791
Mule,END,91,0.020833333333333332,0.8817999906929127
Mule,FTC,65,0.01488095238095238,1.2676781867565794
Mule,ATW,63,0.014423076923076924,2.2727890612505997
Mule,CHQ,56,0.01282051282051282,1.778121847655242
Mule,RCD,48,0.01098901098901099,1.0930749040985261
Mule,STD,45,0.010302197802197802,0.975167511227455
Mule,TPC,40,0.009157509157509158,1.7064598994531388
Mule,MCR,38,0.0086996336996337,0.8494652958421075
Mule,MAC,37,0.00847069597069597,0.8498277588284205
Mule,TPD,33,0.007554945054945055,0.8836953941120608
Mule,APD,32,0.007326007326007326,1.0855954081760533
Mule,ETD,24,0.005494505494505495,0.9568329430477622
Mule,IFD,24,0.005494505494505495,1.4262381454162276
Mule,CSD,22,0.005036630036630037,0.9935105016432277
Mule,MAD,18,0.004120879120879121,1.2671243563738495
Mule,STC,18,0.004120879120879121,0.7952798315624541
Mule,IFC,16,0.003663003663003663,0.8438936949575248
Mule,NWD,13,0.002976190476190476,0.5874565972222222
Mule,OCD,13,0.002976190476190476,0.740831964969896
Mule,RTD,13,0.002976190476190476,1.232695810564663
Mule,CHD,12,0.0027472527472527475,0.9432877428347418
Mule,PCA,11,0.0025183150183150185,0.6443146164665153
Mule,CCL,8,0.0018315018315018315,0.9707728169266631
Mule,OPI,6,0.0013736263736263737,0.9358686257562663
Mule,ASD,4,0.0009157509157509158,1.3158342447441973
Mule,IAD,4,0.0009157509157509158,1.4165358451072738
Mule,CTC,3,0.0006868131868131869,0.5816501933820369
Mule,SCW,1,0.00022893772893772894,0.5736384827293918
Mule,SID,1,0.00022893772893772894,0.24354475933423303
Unlabeled,UPC,75099,0.39023008812770205,0.9711748559005416
Unlabeled,UPD,68011,0.35339935982707016,0.9497856542701639
Unlabeled,IPM,8261,0.04292588127702029,1.1099721174348038
Unlabeled,P2A,4880,0.025357499168606586,0.7721881176302791
Unlabeled,NTD,4686,0.02434943465247755,1.3514118507209827
Unlabeled,END,4436,0.023050382440971066,0.8817999906929127
Unlabeled,FTD,3113,0.01617579813767875,1.5651585959077572
Unlabeled,FTC,2118,0.01100557033588294,1.2676781867565794
Unlabeled,STD,1833,0.009524650814765548,0.975167511227455
Unlabeled,MAC,1808,0.009394745593614898,0.8498277588284205
Unlabeled,MCR,1808,0.009394745593614898,0.8494652958421075
Unlabeled,RCD,1760,0.009145327569005653,1.0930749040985261
Unlabeled,TPD,1426,0.007409793814432989,0.8836953941120608
Unlabeled,CHQ,1241,0.006448495177918191,1.778121847655242
Unlabeled,APD,1062,0.005518373794479548,1.0855954081760533
Unlabeled,TPC,947,0.004920809777186565,1.7064598994531388
Unlabeled,ATW,945,0.0049104173594945125,2.2727890612505997
Unlabeled,ETD,943,0.004900024941802461,0.9568329430477622
Unlabeled,NWD,919,0.0047753159294978385,0.5874565972222222
Unlabeled,STC,885,0.004598644828732956,0.7952798315624541
Unlabeled,OCD,736,0.0038244097106750917,0.740831964969896
Unlabeled,CSD,728,0.0037828400399068838,0.9935105016432277
Unlabeled,PCA,715,0.0037152893249085468,0.6443146164665153
Unlabeled,IFC,696,0.003616561356834054,0.8438936949575248
Unlabeled,IFD,676,0.003512637179913535,1.4262381454162276
Unlabeled,MAD,549,0.0028527186564682406,1.2671243563738495
Unlabeled,CHD,475,0.002468199201862321,0.9432877428347418
Unlabeled,RTD,400,0.0020784835384103756,1.232695810564663
Unlabeled,CCL,279,0.0014497422680412372,0.9707728169266631
Unlabeled,OPI,252,0.0013094446291985367,0.9358686257562663
Unlabeled,CTC,212,0.0011015962753574992,0.5816501933820369
Unlabeled,SID,194,0.0010080645161290322,0.24354475933423303
Unlabeled,ASD,166,0.0008625706684403059,1.3158342447441973
Unlabeled,IAD,111,0.0005767791819088793,1.4165358451072738
Unlabeled,SCW,78,0.00040530428999002325,0.5736384827293918
