table,column,dtype,row_count,missing_count,missing_pct,n_unique
accounts,account_id,string,40038,0,0.0,40038.0
accounts,account_opening_date,datetime64[ns],40038,0,0.0,3567.0
accounts,account_status,object,40038,0,0.0,2.0
accounts,avg_balance,float64,40038,1203,0.03004645586692642,35969.0
accounts,branch_code,int64,40038,0,0.0,8897.0
accounts,branch_pin,float64,40038,2009,0.05017733153504171,5714.0
accounts,cheque_allowed,object,40038,0,0.0,2.0
accounts,cheque_availed,object,40038,0,0.0,2.0
accounts,currency_code,int64,40038,0,0.0,1.0
accounts,daily_avg_balance,float64,40038,0,0.0,37067.0
accounts,freeze_date,datetime64[ns],40038,38721,0.9671062490633898,861.0
accounts,kyc_compliant,object,40038,0,0.0,2.0
accounts,last_kyc_date,datetime64[ns],40038,0,0.0,1495.0
accounts,last_mobile_update_date,datetime64[ns],40038,34001,0.849218242669464,179.0
accounts,monthly_avg_balance,float64,40038,1203,0.03004645586692642,35934.0
accounts,nomination_flag,object,40038,0,0.0,2.0
accounts,num_chequebooks,int64,40038,0,0.0,4.0
accounts,product_code,int64,40038,0,0.0,22.0
accounts,product_family,object,40038,0,0.0,3.0
accounts,quarterly_avg_balance,float64,40038,0,0.0,37087.0
accounts,rural_branch,object,40038,0,0.0,2.0
accounts,unfreeze_date,datetime64[ns],40038,39613,0.9893850841700385,348.0
customer_account_linkage,account_id,string,40038,0,0.0,40038.0
customer_account_linkage,customer_id,string,40038,0,0.0,39988.0
customers,aadhaar_available,object,39988,9708,0.24277283184955487,2.0
customers,atm_card_flag,object,39988,0,0.0,2.0
customers,credit_card_flag,object,39988,0,0.0,2.0
customers,customer_id,string,39988,0,0.0,39988.0
customers,customer_pin,int64,39988,0,0.0,5710.0
customers,date_of_birth,datetime64[ns],39988,0,0.0,18738.0
customers,demat_flag,object,39988,0,0.0,2.0
customers,fastag_flag,object,39988,0,0.0,2.0
customers,internet_banking_flag,object,39988,0,0.0,2.0
customers,mobile_banking_flag,object,39988,0,0.0,2.0
customers,pan_available,object,39988,5732,0.14334300290087026,2.0
customers,passport_available,object,39988,0,0.0,2.0
customers,permanent_pin,int64,39988,0,0.0,5708.0
customers,relationship_start_date,datetime64[ns],39988,0,0.0,10805.0
product_details,cc_count,int64,39988,0,0.0,3.0
product_details,cc_sum,float64,39988,33687,0.8424277283184956,6301.0
product_details,customer_id,string,39988,0,0.0,39988.0
product_details,ka_count,int64,39988,0,0.0,3.0
product_details,ka_sum,float64,39988,0,0.0,11556.0
product_details,loan_count,int64,39988,0,0.0,4.0
product_details,loan_sum,float64,39988,31485,0.7873612083625088,8503.0
product_details,od_count,int64,39988,0,0.0,2.0
product_details,od_sum,float64,39988,0,0.0,4020.0
product_details,sa_count,int64,39988,0,0.0,3.0
product_details,sa_sum,float64,39988,0,0.0,21076.0
test_accounts,account_id,string,16015,0,0.0,16015.0
train_labels,account_id,string,24023,0,0.0,24023.0
train_labels,alert_reason,object,24023,23781,0.989926320609416,13.0
train_labels,flagged_by_branch,float64,24023,23760,0.9890521583482496,162.0
train_labels,is_mule,int64,24023,0,0.0,2.0
train_labels,mule_flag_date,datetime64[ns],24023,23760,0.9890521583482496,172.0
transactions,account_id,string,7047047,0,0.0,
transactions,amount,float64,7047047,0,0.0,
transactions,channel,string,7047047,0,0.0,
transactions,counterparty_id,string,7047047,0,0.0,
transactions,mcc_code,Int32,7047047,0,0.0,
transactions,transaction_id,string,7047047,0,0.0,
transactions,transaction_timestamp,datetime64[ns],7047047,0,0.0,
transactions,txn_type,string,7047047,0,0.0,
