branch_code,total_accounts,frozen_accounts,freeze_rate,labeled_accounts,mule_accounts,mule_rate
4091,10,3,0.3,7,6,0.8571428571428571
7573,9,3,0.3333333333333333,5,1,0.2
3051,7,2,0.2857142857142857,2,0,0.0
4465,11,2,0.18181818181818182,7,0,0.0
1272,12,2,0.16666666666666666,8,0,0.0
2965,6,2,0.3333333333333333,4,0,0.0
3610,4,2,0.5,2,0,0.0
5247,6,2,0.3333333333333333,3,0,0.0
2847,9,2,0.2222222222222222,4,2,0.5
1275,6,2,0.3333333333333333,1,0,0.0
4340,5,2,0.4,5,0,0.0
3945,7,2,0.2857142857142857,1,0,0.0
2108,4,2,0.5,2,0,0.0
2900,7,2,0.2857142857142857,7,0,0.0
1492,6,2,0.3333333333333333,4,0,0.0
5108,9,2,0.2222222222222222,6,0,0.0
4572,4,2,0.5,4,0,0.0
3984,5,2,0.4,3,2,0.6666666666666666
4481,9,2,0.2222222222222222,3,0,0.0
4581,7,2,0.2857142857142857,4,0,0.0
5499,7,2,0.2857142857142857,5,0,0.0
5672,5,2,0.4,4,2,0.5
6446,13,2,0.15384615384615385,9,0,0.0
6482,4,2,0.5,2,0,0.0
6677,7,2,0.2857142857142857,7,0,0.0
6744,5,2,0.4,1,0,0.0
6786,5,2,0.4,5,1,0.2
6879,6,2,0.3333333333333333,2,0,0.0
7032,11,2,0.18181818181818182,7,1,0.14285714285714285
7079,6,2,0.3333333333333333,5,1,0.2
7091,6,2,0.3333333333333333,5,0,0.0
7229,8,2,0.25,6,1,0.16666666666666666
7412,4,2,0.5,2,0,0.0
3300,27,2,0.07407407407407407,18,0,0.0
7631,8,2,0.25,7,1,0.14285714285714285
7673,8,2,0.25,5,1,0.2
7677,6,2,0.3333333333333333,6,0,0.0
7754,6,2,0.3333333333333333,3,0,0.0
7860,3,2,0.6666666666666666,2,0,0.0
8362,11,2,0.18181818181818182,6,0,0.0
9047,4,2,0.5,2,0,0.0
9109,7,2,0.2857142857142857,4,0,0.0
9349,5,2,0.4,2,1,0.5
9923,6,2,0.3333333333333333,3,1,0.3333333333333333
4267,4,1,0.25,1,0,0.0
5460,7,1,0.14285714285714285,6,0,0.0
3675,4,1,0.25,2,0,0.0
4269,3,1,0.3333333333333333,1,0,0.0
1850,10,1,0.1,7,0,0.0
4144,6,1,0.16666666666666666,3,0,0.0
5084,7,1,0.14285714285714285,3,0,0.0
4146,7,1,0.14285714285714285,6,0,0.0
2204,5,1,0.2,1,1,1.0
1468,10,1,0.1,6,0,0.0
4907,4,1,0.25,4,0,0.0
1040,5,1,0.2,4,0,0.0
4007,4,1,0.25,2,0,0.0
3075,6,1,0.16666666666666666,3,0,0.0
3076,5,1,0.2,3,1,0.3333333333333333
3298,4,1,0.25,1,0,0.0
4008,5,1,0.2,3,0,0.0
2212,5,1,0.2,5,1,0.2
1477,4,1,0.25,2,0,0.0
3079,4,1,0.25,3,0,0.0
1864,4,1,0.25,1,0,0.0
3081,4,1,0.25,1,0,0.0
2216,8,1,0.125,5,1,0.2
5135,2,1,0.5,1,0,0.0
2218,6,1,0.16666666666666666,5,1,0.2
2542,6,1,0.16666666666666666,4,0,0.0
3083,3,1,0.3333333333333333,1,0,0.0
4683,2,1,0.5,1,0,0.0
4151,5,1,0.2,4,0,0.0
3086,10,1,0.1,7,1,0.14285714285714285
2832,7,1,0.14285714285714285,3,0,0.0
2548,6,1,0.16666666666666666,3,0,0.0
1063,4,1,0.25,2,0,0.0
4594,6,1,0.16666666666666666,4,0,0.0
4842,4,1,0.25,3,0,0.0
1066,3,1,0.3333333333333333,2,0,0.0
3306,7,1,0.14285714285714285,4,0,0.0
5248,2,1,0.5,2,0,0.0
4686,4,1,0.25,2,0,0.0
4768,6,1,0.16666666666666666,4,0,0.0
4769,3,1,0.3333333333333333,0,0,0.0
1501,5,1,0.2,1,0,0.0
4844,9,1,0.1111111111111111,8,0,0.0
3512,5,1,0.2,5,1,0.2
2842,6,1,0.16666666666666666,3,0,0.0
3096,4,1,0.25,3,0,0.0
5032,6,1,0.16666666666666666,3,0,0.0
2238,9,1,0.1111111111111111,5,0,0.0
5033,6,1,0.16666666666666666,3,0,0.0
2846,9,1,0.1111111111111111,7,0,0.0
2563,7,1,0.14285714285714285,3,0,0.0
3315,6,1,0.16666666666666666,3,0,0.0
5089,3,1,0.3333333333333333,2,0,0.0
3864,6,1,0.16666666666666666,2,0,0.0
2246,3,1,0.3333333333333333,3,0,0.0
1087,8,1,0.125,6,0,0.0
2568,7,1,0.14285714285714285,3,0,0.0
2851,5,1,0.2,4,0,0.0
1518,3,1,0.3333333333333333,1,0,0.0
1092,6,1,0.16666666666666666,3,0,0.0
4022,4,1,0.25,3,0,0.0
1094,4,1,0.25,4,1,0.25
1520,4,1,0.25,4,0,0.0
5471,3,1,0.3333333333333333,1,0,0.0
3519,4,1,0.25,2,0,0.0
1098,5,1,0.2,3,0,0.0
4775,5,1,0.2,3,0,0.0
2574,7,1,0.14285714285714285,6,0,0.0
2254,8,1,0.125,4,0,0.0
5321,9,1,0.1111111111111111,9,0,0.0
3702,3,1,0.3333333333333333,1,0,0.0
2858,5,1,0.2,3,0,0.0
1529,4,1,0.25,3,0,0.0
1530,5,1,0.2,4,0,0.0
3703,9,1,0.1111111111111111,6,0,0.0
4777,3,1,0.3333333333333333,1,0,0.0
2861,4,1,0.25,4,0,0.0
